jqcy,#genre#
//百视&蜀小果&咪咕
CCTV1综合,http://nas.jqcykj.com:88/bst?id=165#http://nas.jqcykj.com:88/bst/2?id=165
CCTV2财经,http://nas.jqcykj.com:88/bst?id=166#http://nas.jqcykj.com:88/bst/2?id=166
CCTV3综艺,http://nas.jqcykj.com:91/live/CCTV-3H265_4000.m3u8#http://nas.jqcykj.com:33/624878271
CCTV4中文国际,http://nas.jqcykj.com:88/bst?id=167#http://nas.jqcykj.com:88/bst/2?id=167
CCTV5体育,http://nas.jqcykj.com:91/live/CCTV-5H265_4000.m3u8#http://nas.jqcykj.com:33/641886683
CCTV5+体育赛事,http://nas.jqcykj.com:91/live/CCTV-5plusH265_4000.m3u8#http://nas.jqcykj.com:33/641886773
CCTV6电影,http://nas.jqcykj.com:91/live/CCTV-6H265_4000.m3u8#http://nas.jqcykj.com:33/624878396
CCTV7国防军事,http://nas.jqcykj.com:88/bst?id=168#http://nas.jqcykj.com:88/bst/2?id=168
CCTV8电视剧,http://nas.jqcykj.com:91/live/CCTV-8H265_4000.m3u8#http://nas.jqcykj.com:33/624878356
CCTV9纪录,http://nas.jqcykj.com:88/bst?id=169#http://nas.jqcykj.com:88/bst/2?id=169
CCTV10科教,http://nas.jqcykj.com:88/bst?id=170#http://nas.jqcykj.com:88/bst/2?id=170
CCTV11戏曲,http://nas.jqcykj.com:88/bst?id=171#http://nas.jqcykj.com:88/bst/2?id=171
CCTV12社会与法,http://nas.jqcykj.com:88/bst?id=172#http://nas.jqcykj.com:88/bst/2?id=172
CCTV13新闻,http://nas.jqcykj.com:88/bst?id=173#http://nas.jqcykj.com:88/bst/2?id=173
CCTV14少儿,http://nas.jqcykj.com:88/bst?id=174#http://nas.jqcykj.com:88/bst/2?id=174
CCTV15音乐,http://nas.jqcykj.com:88/bst?id=175#http://nas.jqcykj.com:88/bst/2?id=175
CCTV16奥林匹克,http://nas.jqcykj.com:89/live/CCTV-16_4000.m3u8#http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV17农业农村,http://nas.jqcykj.com:88/bst?id=176#http://nas.jqcykj.com:88/bst/2?id=176
//官方&咪咕
CGTN新闻,https://english-liveali.cgtn.com/hls/yypdyyctzb/yypdyyctzbcd/playlist.m3u8
CGTN纪录,https://english-liveali.cgtn.com/hls/yypdjlctzb/yypdjlctzbcd/playlist.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN西语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CCTV4欧洲,http://nas.jqcykj.com:30/608807419
CCTV4美洲,http://nas.jqcykj.com:30/608807416
//央视频1080
CCTV-4K超高清,http://nas.jqcykj.com:88/ysp?id=cctv4k
CCTV-8K超高清,http://nas.jqcykj.com:88/ysp?id=cctv8k
CETV1综合教育,http://nas.jqcykj.com:88/bst?id=204#http://nas.jqcykj.com:88/bst/2?id=204
CETV2空中课堂,http://nas.jqcykj.com:88/bst?id=206#http://nas.jqcykj.com:88/bst/2?id=206
CETV4职业教育,http://nas.jqcykj.com:88/bst?id=218#http://nas.jqcykj.com:88/bst/2?id=218
//nas代理
凤凰中文,http://nas.jqcykj.com:88/fenghuang?id=fhzw#http://nas.jqcykj.com:88/fh?id=fhzw
凤凰香港,http://nas.jqcykj.com:88/fenghuang?id=fhhk#http://nas.jqcykj.com:88/fh?id=fhhk
凤凰资讯,http://nas.jqcykj.com:88/fenghuang?id=fhzx#http://nas.jqcykj.com:88/fh?id=fhzx
香港卫视,http://nas.jqcykj.com:88/xianggang/#https://hkstv.tv/api/m3u8-proxy?url=http%3A%2F%2Fwebcast.hkstv.tv%2Flivestream%2Fmutfysrq%2Fplaylist.m3u8
//央视频
北京卫视,http://nas.jqcykj.com:88/ysp?id=bjws
江苏卫视,http://nas.jqcykj.com:88/ysp?id=jsws
东方卫视,http://nas.jqcykj.com:88/ysp?id=dfws
浙江卫视,http://nas.jqcykj.com:88/ysp?id=zjws
湖南卫视,http://nas.jqcykj.com:88/ysp?id=hnws
湖北卫视,http://nas.jqcykj.com:88/ysp?id=hbws
广东卫视,http://nas.jqcykj.com:88/ysp?id=gdws
广西卫视,http://nas.jqcykj.com:88/ysp?id=gxws
黑龙江卫视,http://nas.jqcykj.com:88/ysp?id=hljws
海南卫视,http://nas.jqcykj.com:88/ysp?id=hnws2
重庆卫视,http://nas.jqcykj.com:88/ysp?id=cqws
深圳卫视,http://nas.jqcykj.com:88/ysp?id=szws
四川卫视,http://nas.jqcykj.com:88/ysp?id=scws
河南卫视,http://nas.jqcykj.com:88/ysp?id=henanws
东南卫视,http://nas.jqcykj.com:88/ysp?id=fjdnhz
贵州卫视,http://nas.jqcykj.com:88/ysp?id=gzhws
江西卫视,http://nas.jqcykj.com:88/ysp?id=jxws
辽宁卫视,http://nas.jqcykj.com:88/ysp?id=lnws
安徽卫视,http://nas.jqcykj.com:88/ysp?id=ahws
河北卫视,http://nas.jqcykj.com:88/ysp?id=hbws2
山东卫视,http://nas.jqcykj.com:88/ysp?id=sdws
天津卫视,http://nas.jqcykj.com:88/ysp?id=tjws
吉林卫视,http://nas.jqcykj.com:88/ysp?id=jlws
陕西卫视,http://nas.jqcykj.com:88/ysp?id=shanxiws
宁夏卫视,http://nas.jqcykj.com:88/ysp?id=nxws
内蒙古卫视,http://nas.jqcykj.com:88/ysp?id=nmgws
云南卫视,http://nas.jqcykj.com:88/ysp?id=ynws
山西卫视,http://nas.jqcykj.com:88/ysp?id=shanxiws2
青海卫视,http://nas.jqcykj.com:88/ysp?id=qhws
西藏卫视,http://nas.jqcykj.com:88/ysp?id=xzws
新疆卫视,http://nas.jqcykj.com:88/ysp?id=xjws
//百视
东南卫视,http://nas.jqcykj.com:88/bst?id=155#http://nas.jqcykj.com:88/bst/2?id=155
海峡卫视,http://nas.jqcykj.com:88/bst?id=163#http://nas.jqcykj.com:88/bst/2?id=163
湖南卫视,http://nas.jqcykj.com:88/bst?id=180#http://nas.jqcykj.com:88/bst/2?id=180
江苏卫视,http://nas.jqcykj.com:88/bst?id=181#http://nas.jqcykj.com:88/bst/2?id=181
浙江卫视,http://nas.jqcykj.com:88/bst?id=182#http://nas.jqcykj.com:88/bst/2?id=182
河北卫视,http://nas.jqcykj.com:88/bst?id=183#http://nas.jqcykj.com:88/bst/2?id=183
广东卫视,http://nas.jqcykj.com:88/bst?id=184#http://nas.jqcykj.com:88/bst/2?id=184
