不稳定,#genre#
CCTV1综合,http://111.170.156.74:3344/央视/cctv.php?id=cctv1
CCTV2财经,http://111.170.156.74:3344/央视/cctv.php?id=cctv2
CCTV4中文国际,http://111.170.156.74:3344/央视/cctv.php?id=cctv4
CCTV5+体育赛事,http://111.170.156.74:3344/央视/cctvapp.php?id=CCTV54d61bd11c9a343b782b3381a3c3f6540H
CCTV7国防军事,http://111.170.156.74:3344/央视/cctv.php?id=cctv7
CCTV7国防军事,http://111.170.156.74:3344/ysp.php?id=CCTV7
CCTV9纪录,http://111.170.156.74:3344/央视/cctv.php?id=cctv9
CCTV10科教,http://111.170.156.74:3344/央视/cctv.php?id=cctv10
CCTV12社会与法,http://111.170.156.74:3344/央视/cctv.php?id=cctv12
CCTV13新闻,http://111.170.156.74:3344/央视/cctv.php?id=cctv13
CCTV17农业农村,http://111.170.156.74:3344/央视/cctv.php?id=cctv17
CCTV4K超高清,http://111.170.156.74:3344/央视/cctv.php?id=cctv4k
CETV1,http://111.170.156.74:3344/ysp.php?id=CETV1
北京卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=b2e730bcb7e8468ea028135c602a561d
东方卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=b03d633a64f14712b1b78ad5336fac2c
江苏卫视,http://111.170.156.74:3344/地方频道/jiangsu/jiangsu.php?id=jsws
江苏卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f485de429c064333b7cce20c6bbbc905
浙江卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=0b0936946bd7416fa80aaeb4072f369a
湖北卫视,http://111.170.156.74:3344/湖北/cjy.php?id=hbws
湖北卫视,http://111.170.156.74:3344/湖北/cjy.php?id=hbws
湖北卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=894c6f103e094ab58f51cf0f96870a3d
广东卫视,http://111.170.156.74:3344/广东地方/gdtv.php?id=43
广东卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=6766ec7717d64744bdbfd1c2068ebae6
广西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=d45e1b2dbae6465a9b2e7a14f7749119
黑龙江卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=c77741c71cbb4f61bc9876826e267b51
海南卫视,http://111.170.156.74:3344/地方频道/hainan/hainan.php?id=hnws
海南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=54e5f81a605e428188bf7ff21c0df64c
深圳卫视,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szws
四川卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=90edcdb6a18446d594228039a519b779
河南卫视,http://111.170.156.74:3344/河南频道/hntv.php?id=hnws
河南卫视,http://111.170.156.74:3344/地方频道/henan/henan.php?id=hnws
河南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=47ebcda850e74c83897dd90ca72db658
贵州卫视,http://111.170.156.74:3344/地方频道/guizhou/guizhou.php?id=gzws
贵州卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=d6fc64f8f5e34444ba703bb79fda5da8
江西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=0621912339cf40109a945afafc3069e2
辽宁卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=196d1fb7186845c8ab06945beb60f428
安徽卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=633fd677b4ce40ad85b127db4307921a
河北卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=39f6908c16d74aeab67c78eeb37e17dd
山东卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=15d651d2389d46ba86eda710fcc1f68b
天津卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f34309e518fb41579c46cbef4d56c51d
陕西卫视,http://111.170.156.74:3344/地方频道/shanxi2/shanxi.php?id=sxws
陕西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=63fbcee70e0140c991541b5412c9552d
内蒙古卫视,http://111.170.156.74:3344/地方频道/neimeng/neimeng.php?id=nmws
内蒙古卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=74dd173b302c4aa9abf142e4034e0c87
甘肃卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=dc13ed51077a4200a8a41e5e02457fdb
宁夏卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=782bc32aad614b6c9c078fd7bea95488
山西卫视,http://111.170.156.74:3344/地方频道/shanxi/shanxi.php?id=sxws
山西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=39c3c7226f754f3e9cbebd8b5f0996ee
云南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f79e9c261fda4c3ba35d075a51814bbd
