组播,#genre#
广西综艺旅游,http://116.9.34.129:4000/udp/239.81.0.214:4056
广西影视频道,http://116.9.34.129:4000/udp/239.81.0.250:4056
广西新闻频道,http://116.9.34.129:4000/udp/239.81.0.248:4056
广西都市频道,http://116.9.34.129:4000/udp/239.81.0.247:4056
广西国际频道,http://116.9.34.129:4000/udp/239.81.0.8:4056
广西移动电视,http://116.9.34.129:4000/udp/239.81.0.10:4056
南宁新闻综合,http://116.9.34.129:4000/udp/239.81.0.241:4056
嘉佳卡通,http://116.9.34.129:4000/udp/239.81.0.64:4056
卡酷动画,http://116.9.34.129:4000/udp/239.81.0.62:4056
金鹰卡通,http://116.9.34.129:4000/udp/239.81.0.61:4056
新动漫,http://116.9.34.129:4000/udp/239.81.0.235:4056
电竞游戏,http://116.9.34.129:4000/udp/239.81.0.202:4056
CETV1,http://116.9.34.129:4000/udp/239.81.0.92:4056
CETV2,http://116.9.34.129:4000/udp/239.81.0.245:4056
CETV4,http://116.9.34.129:4000/udp/239.81.0.246:4056
南宁影视娱乐,http://116.9.34.129:4000/udp/239.81.0.128:4056
南宁公共频道,http://116.9.34.129:4000/udp/239.81.0.129:4056
南宁文旅生活,http://116.9.34.129:4000/udp/239.81.0.127:4056
柳州新闻,http://116.9.34.129:4000/udp/239.81.0.134:4056
北海新闻,http://116.9.34.129:4000/udp/239.81.0.136:4056
玉林新闻,http://116.9.34.129:4000/udp/239.81.0.138:4056
贺州新闻,http://116.9.34.129:4000/udp/239.81.0.137:4056
桂林新闻,http://116.9.34.129:4000/udp/239.81.0.135:4056
华数爱上4K,http://116.9.34.129:4000/udp/239.81.0.123:4056
广西IPTV7,http://116.9.34.129:4000/udp/239.81.0.253:4056
广西IPTV8,http://116.9.34.129:4000/udp/239.81.0.208:4056
IPTV6电影,http://116.9.34.129:4000/udp/239.81.0.100:4056
IPTV12,http://116.9.34.129:4000/udp/239.81.0.124:4056
IPTV5体育,http://116.9.34.129:4000/udp/239.81.0.12:4056
山东体育频道,http://144.255.31.236:6688/udp/239.21.1.141:5002
山东农科频道,http://144.255.31.236:6688/udp/239.21.1.183:5002
山东少儿频道,http://144.255.31.236:6688/udp/239.21.1.208:5002
山东教育频道,http://144.255.31.236:6688/udp/239.21.1.169:5002
山东文旅频道,http://144.255.31.236:6688/udp/239.21.1.176:5002
山东新闻频道,http://144.255.31.236:6688/udp/239.21.1.140:5002
山东生活频道,http://144.255.31.236:6688/udp/239.21.1.175:5002
山东综艺频道,http://144.255.31.236:6688/udp/239.21.1.177:5002
山东齐鲁频道,http://144.255.31.236:6688/udp/239.21.1.134:5002
济南新闻综合,http://144.255.31.236:6688/udp/239.21.1.94:5002
济宁综合频道,http://144.255.31.236:6688/udp/239.21.2.19:5002
宁阳综合频道,http://144.255.31.236:6688/udp/239.21.1.143:5002
潍坊新闻综合,http://144.255.31.236:6688/udp/239.21.1.77:5002
潍坊经济生活,http://144.255.31.236:6688/udp/239.21.1.78:5002
东平综合频道,http://144.255.31.236:6688/udp/239.21.1.216:5002
乳山综合频道,http://144.255.31.236:6688/udp/239.21.1.220:5002
兖州新闻频道,http://144.255.31.236:6688/udp/239.21.1.224:5002
兰陵综合频道,http://144.255.31.236:6688/udp/239.21.1.237:5002
夏津公共频道,http://144.255.31.236:6688/udp/239.21.1.102:5002
夏津综合频道,http://144.255.31.236:6688/udp/239.21.1.106:5002
宁津综合频道,http://144.255.31.236:6688/udp/239.21.2.50:5002
安丘综合频道,http://144.255.31.236:6688/udp/239.21.2.13:5002
烟台影视频道,http://144.255.31.236:6688/udp/239.21.1.204:5002
烟台新闻综合,http://144.255.31.236:6688/udp/239.21.1.116:5002
烟台经济科技,http://144.255.31.236:6688/udp/239.21.1.205:5002
禹城综合频道,http://144.255.31.236:6688/udp/239.21.1.241:5002
禹城综艺频道,http://144.255.31.236:6688/udp/239.21.1.242:5002
聊城民生频道,http://144.255.31.236:6688/udp/239.21.1.254:5002
聊城综合频道,http://144.255.31.236:6688/udp/239.21.1.253:5002
茌平综合频道,http://144.255.31.236:6688/udp/239.21.1.219:5002
荣成综合频道,http://144.255.31.236:6688/udp/239.21.1.227:5002
莘县综合频道,http://144.255.31.236:6688/udp/239.21.1.211:5002
莱西综合频道,http://144.255.31.236:6688/udp/239.21.1.247:5002
定陶TV-1,http://144.255.31.236:6688/udp/239.21.1.244:5002
文登TV-1,http://144.255.31.236:6688/udp/239.21.1.174:5002
邹城综合频道,http://144.255.31.236:6688/udp/239.21.1.185:5002
郓城综合频道,http://144.255.31.236:6688/udp/239.21.1.251:5002
阳信新闻综合,http://144.255.31.236:6688/udp/239.21.1.252:5002
陵城综合频道,http://144.255.31.236:6688/udp/239.21.2.24:5002
青州文化旅游,http://144.255.31.236:6688/udp/239.21.1.231:5002
青州综合频道,http://144.255.31.236:6688/udp/239.21.1.232:5002
齐河新闻频道,http://144.255.31.236:6688/udp/239.21.1.230:5002
巨野新闻频道,http://144.255.31.236:6688/udp/239.21.1.215:5002
平原综合频道,http://144.255.31.236:6688/udp/239.21.1.243:5002
平度新闻综合,http://144.255.31.236:6688/udp/239.21.1.228:5002
平阴综合频道,http://144.255.31.236:6688/udp/239.21.1.221:5002
德州经济生活,http://144.255.31.236:6688/udp/239.21.1.76:5002
德州新闻综合,http://144.255.31.236:6688/udp/239.21.1.75:5002
新泰乡村频道,http://144.255.31.236:6688/udp/239.21.1.248:5002
新泰综合频道,http://144.255.31.236:6688/udp/239.21.1.210:5002
昌乐综合频道,http://144.255.31.236:6688/udp/239.21.1.245:5002
昌邑综合频道,http://144.255.31.236:6688/udp/239.21.2.27:5002
曲阜综合频道,http://144.255.31.236:6688/udp/239.21.1.225:5002
梁山综合频道,http://144.255.31.236:6688/udp/239.21.2.12:5002
武城综艺影视,http://144.255.31.236:6688/udp/239.21.1.240:5002
武城综合频道,http://144.255.31.236:6688/udp/239.21.1.239:5002
沾化综合频道,http://144.255.31.236:6688/udp/239.21.1.226:5002
淄博影视频道,http://144.255.31.236:6688/udp/239.21.1.182:5002
淄博新闻综合,http://144.255.31.236:6688/udp/239.21.1.84:5002
新闻综合,http://144.255.31.236:6688/udp/239.21.1.193:5002
无棣综合频道,http://144.255.31.236:6688/udp/239.21.1.214:5002
日照岚山频道,http://144.255.31.236:6688/udp/239.21.1.209:5002
蒙阴综合频道,http://144.255.31.236:6688/udp/239.21.2.23:5002
单县综合频道,http://144.255.31.236:6688/udp/239.21.2.21:5002
济阳综合频道,http://144.255.31.236:6688/udp/239.21.1.187:5002
滨州综合频道,http://144.255.31.236:6688/udp/239.21.1.238:5002
济南教育频道,http://144.255.31.236:6688/udp/239.21.1.133:5002
青岛1,http://144.255.31.236:6688/udp/239.21.1.69:5002
青岛2,http://144.255.31.236:6688/udp/239.21.1.70:5002
青岛3,http://144.255.31.236:6688/udp/239.21.1.71:5002
青岛4,http://144.255.31.236:6688/udp/239.21.1.72:5002
青岛5,http://144.255.31.236:6688/udp/239.21.1.73:5002
青岛6,http://144.255.31.236:6688/udp/239.21.1.74:5002
